Name,Address,City,State,Zip,County,Phone,Website,Needs,Service Types,Populations,Description,Eligibility,Cost,Hours,Languages,What to Bring,Referral Required,Intake Hours,Map URL,Status,Intake Process,Last Verified,Confidence,Notes
KCEOC Women's Emergency Support Center,"U.S. Hwy 25E, Barbourville, KY 40906",Barbourville,KY,40906,Knox,606-546-3152,,food; shelter; clothing; crisis; family; transportation,residential,families; women; men; youth,"Women and children. 15 semi-private beds. Meals, clothing, supportive services, transportation.",,private-pay,,English,,,,"https://www.google.com/maps/search/?api=1&query=U.S.+Hwy+25E,+Barbourville,+KY+40906",active,,2026-09-20,medium,
KEJC - Kentucky Equal Justice Center,Statewide,,KY,,Statewide,859-788-2927,https://kyequaljustice.org,legal,walk-in,re-entry,Legal aid,,unknown,,English,,,,,active,,2026-09-20,medium,
Kentucky Attorney General's Office,Statewide,,KY,,Statewide,800-372-2551,,crisis; legal,hotline,anyone,Legal hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
Kentucky Domestic Violence Association,Statewide,,KY,,Statewide,502-209-5382,,crisis,walk-in,anyone,DV support,,unknown,,English,,,,,active,,2026-09-20,medium,
Kentucky Harm Reduction Coalition,"1202 S. 3rd St #103, Louisville, KY 40203",Louisville,KY,40203,Statewide,502-537-6061,https://kyhrc.org,clothing; addiction; education,walk-in,substance-use,Harm reduction education and supplies for substance use disorders,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1202+S.+3rd+St+#103,+Louisville,+KY+40203",active,,2026-09-20,medium,
Kentucky River Community Care,"Hazzard, KY",,KY,,Perry,606-436-1945,,community,hotline,anyone,Call 8:30am M-F.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Hazzard,+KY",active,,2026-09-20,medium,
Kentucky Voices for Health,Statewide,,KY,,Statewide,,https://Health advocacy,health,walk-in,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
KFAN - Kentucky Food Action Network,Statewide,,KY,,Statewide,,https://Food security advocacy,food; jobs,walk-in,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
KHC - Kentucky Housing Corporation,Statewide,,KY,,Statewide,,https://Housing Choice Voucher/Section 8,housing,residential,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
KTAP - Cash Assistance,Statewide,,KY,,Statewide,859-306-8959,https://kynect.ky.gov,family,walk-in,families; youth,Basic cash assistance for families with children,,unknown,,English,,,,,active,,2026-09-20,medium,
KY Help Statewide Call Center,Statewide,,KY,,Statewide,1-833-859-4357,https://OperationUNITE.org/programs/kyhelp-call-center/,addiction; family,hotline; government,families; substance-use,Substance use disorder assistance and family support,,unknown,,English,,,,,active,,2026-09-20,medium,
KY HIV/AIDS Program,Statewide,,KY,,Statewide,800-420-7431,,health,walk-in,anyone,HIV/AIDS services,,unknown,,English,,,,,active,,2026-09-20,medium,
KY Pregnancy Help Centers,Statewide,,KY,,Statewide,859-255-5400,https://kyfamily.org,family,walk-in,anyone,Pregnancy support,,unknown,,English,,,,,active,,2026-09-20,medium,
KY River Foothills SSVF,Statewide,,KY,,Statewide,800-372-7601,,housing; veterans,walk-in,veterans,Temporary rental assistance for qualifying veterans. POC: Lisa Roark.,,unknown,,English,,,,,active,,2026-09-20,medium,
Kynect Health Coverage,Statewide,,KY,,Statewide,606-389-6708,https://gracehealth.org,health,walk-in,men,Health coverage enrollment,,unknown,,English,,,,,active,,2026-09-20,medium,
La Red Nacional De Prevencion Del Suicidio,Statewide,,KY,,Statewide,888-628-9454,https://988Lifeline.org,crisis,walk-in,anyone,Spanish language suicide prevention,,unknown,,English; Spanish,,,,,active,,2026-09-20,medium,
Lake Cumberland Recovery,"8294 US Hwy 27, Burnside, KY 42519",Burnside,KY,42519,Pulaski,606-341-1160,https://lcrecovery.com,addiction,outpatient,women; men,"24-hour intake. Genesis House (16-bed female), Lighthouse (48-bed male), Exodus Outpatient.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=8294+US+Hwy+27,+Burnside,+KY+42519",active,,2026-09-20,medium,
Level Up Recovery,"1555 E. New Circle Rd Suite 190, Lexington, KY 40509",Lexington,KY,40509,Fayette,859-329-1181; 859-556-7401,,mental-health; addiction; community,outpatient; peer-led,men; substance-use,"Drug & alcohol counseling, case management, peer support, intensive outpatient.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1555+E.+New+Circle+Rd+Suite+190,+Lexington,+KY+40509",active,,2026-09-20,medium,
Life Abundant Ministries,"303 S. Main St, Somerset, KY",Somerset,KY,,Pulaski,606-677-0088,,food,walk-in,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=303+S.+Main+St,+Somerset,+KY",active,,2026-09-20,medium,
Lindsey Wilson University,"700 College Rd, Cumberland, KY 40823",Cumberland,KY,40823,Harlan,606-589-3075,https://lindsey.edu,education,mobile; online,anyone,Educational outreach and online programs.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=700+College+Rd,+Cumberland,+KY+40823",active,,2026-09-20,medium,
Long Term Care Ombudsman,Statewide,,KY,,Statewide,800-372-2991,,community,walk-in,men,Nursing home advocacy,,unknown,,English,,,,,active,,2026-09-20,medium,
Manchester Miracles,"Manchester, KY",,KY,,Clay,606-681-6060,,housing; health; addiction; jobs,residential,men,"Sober living, clinical services, life skills, job assistance.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Manchester,+KY",active,,2026-09-20,medium,
Medicaid Managed Care Ombudsman,Statewide,,KY,,Statewide,800-807-4027,,health,walk-in,men,Medicaid advocacy,,insurance,,English,,,,,active,,2026-09-20,medium,
Medical/Mental Health - Cumberland River Comprehensive Care,"P.O. Box 84, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,606-549-1440,https://crbhky.org,health; mental-health; addiction; crisis; family; community,walk-in,families; men; youth; substance-use,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+84,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
Medicare.gov,Statewide,,KY,,Statewide,,https://Medicare information,health,walk-in,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
Mental Health - Cumberland River Comprehensive Care,"Rt. 9 Box 940, Manchester, KY 40962",Manchester,KY,40962,Knox,606-598-5172; 606-546-3104,https://crbhky.org,health; mental-health; addiction; crisis; family; community,walk-in,families; men; youth; substance-use,"Community mental health, substance abuse, developmental disabilities, supportive living, children's services, First Steps.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Rt.+9+Box+940,+Manchester,+KY+40962",active,,2026-09-20,medium,
Mental Health Counseling,Statewide,,KY,,Statewide,800-928-8000,,health; mental-health,outpatient,men,Mental health referrals,,unknown,,English,,True,,,active,,2026-09-20,medium,
Mental Health Screenings Online 24/7,Statewide,,KY,,Statewide,,https://Online mental health screening,health; mental-health,online,men,,,unknown,,English,,,,,active,,2026-09-20,medium,
Mental Health Support for KY Farmers,Statewide,,KY,,Statewide,,https://Farm-specific mental health support,health; mental-health,walk-in,men,,,unknown,,English,,,,,active,,2026-09-20,medium,
Mercy Mountain Housing,"1866 Whetstone Rd, Rockholds, KY 40759",Rockholds,KY,40759,Whitley,866-338-0557,,housing,residential,men,Rental and acquisition for transitional and permanent housing.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1866+Whetstone+Rd,+Rockholds,+KY+40759",active,,2026-09-20,medium,
Meridzo Center,"202 Church St, Lynch, KY 40855",Lynch,KY,40855,Harlan,606-848-2766,https://meridzo.org,community,walk-in,anyone,"Distribution center, Hope House, Redeemed Living Transitions.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=202+Church+St,+Lynch,+KY+40855",active,,2026-09-20,medium,
MHA - Mental Health America of KY,Statewide,,KY,,Statewide,859-684-7778,https://mhaky.org,health; mental-health; education,walk-in,men,"Mental health screenings, education, advocacy, system navigation",,unknown,,English,,,,,active,,2026-09-20,medium,
Mommy & Me,Statewide,,KY,,Clay,606-603-2486,,family,walk-in,families; women; men; youth,Helps women with children.,,unknown,,English,,,,,active,,2026-09-20,medium,
Mortgage and Credit Counseling - Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",Lexington,KY,40504,Clay,800-355-2227,https://apprisen.com,mental-health,outpatient; online,anyone,"HUD-approved counseling, mortgage delinquency, foreclosure prevention, reverse mortgage.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=2265+Harrodsburg+Rd,+Lexington,+KY+40504",active,,2026-09-20,medium,
Mortgage/Credit Counseling - Apprisen,"2265 Harrodsburg Rd, Lexington, KY 40504",Lexington,KY,40504,Whitley,800-355-2227,https://apprisen.com,mental-health,outpatient; online,anyone,"HUD-approved counseling, foreclosure prevention, reverse mortgage.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=2265+Harrodsburg+Rd,+Lexington,+KY+40504",active,,2026-09-20,medium,
Mountain Outreach,"Williamsburg, KY",,KY,,Whitley,800-343-1609,https://ucumberlands.edu,food,mobile,anyone,"Food assistance, minor home repairs, house builds, construction projects.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Williamsburg,+KY",active,,2026-09-20,medium,
National Domestic Violence Hotline,Statewide,,KY,,Statewide,800-779-7233,,crisis,hotline,anyone,DV hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
National Human Trafficking Hotline,Statewide,,KY,,Statewide,888-373-7888,,crisis,hotline,men,Trafficking hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
National Lead Information Center,Statewide,,KY,,Statewide,800-424-5323,,community,walk-in,anyone,Lead poisoning info,,unknown,,English,,,,,active,,2026-09-20,medium,
National Maternal Mental Health Line,Statewide,,KY,,Statewide,833-943-5749,,health; mental-health,walk-in,men,Maternal mental health,,unknown,,English,,,,,active,,2026-09-20,medium,
National Network to End Domestic Violence,Statewide,,KY,,Statewide,202-543-5566,,crisis; jobs,walk-in,anyone,DV advocacy,,unknown,,English,,,,,active,,2026-09-20,medium,
National Sexual Assault Hotline,Statewide,,KY,,Statewide,800-656-4673,,crisis,hotline,anyone,RAINN sexual assault support,,unknown,,English,,,,,active,,2026-09-20,medium,
National Veterans Foundation,"5777 West Century Blvd Suite 350, Los Angeles, CA 90045",Los Angeles,KY,,Statewide,888-777-4443,https://nvf.org,veterans,walk-in,veterans,"Vet-to-vet service, real solutions for veteran problems. Nationwide.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=5777+West+Century+Blvd+Suite+350,+Los+Angeles,+CA+90045",active,,2026-09-20,medium,
National Victim Notification Network,Statewide,,KY,,Statewide,800-511-1670,,jobs,walk-in,anyone,Victim notification,,unknown,,English,,,,,active,,2026-09-20,medium,
NEMT - Non-Emergency Medical Transportation,Statewide,,KY,,Statewide,,,health; crisis; transportation,online,men,Medicaid transportation to appointments,,insurance,,English,,,,,active,,2026-09-20,medium,
New Day Recovery Center,"711 E. Loudon Ave, Lexington, KY 40505",Lexington,KY,40505,Fayette,859-749-4370; 844-923-4357,https://newdaycenter.com,addiction,walk-in,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=711+E.+Loudon+Ave,+Lexington,+KY+40505",active,,2026-09-20,medium,
New Hope Counseling Recovery,Statewide,,KY,,Knox,606-594-7479,https://nhcr4u.com,mental-health; addiction,outpatient,anyone,"Inspiring hope, changing lives.",,unknown,,English,,,,,active,,2026-09-20,medium,
New Hope Village Apartments,"P.O. Box 568, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-7010 ext 202,,housing,residential,men,11 one-bedroom units for mentally ill adults.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=P.O.+Box+568,+Corbin,+KY+40701",active,,2026-09-20,medium,
New Vision Recovery Center,"559 Riverside Dr, West Liberty, KY 41472",West Liberty,KY,41472,Morgan,606-743-2107,,health; mental-health; addiction; community,outpatient; peer-led,men; substance-use,"IOP/outpatient, 24-hour intake, drug screening, clinical & peer support, individualized treatment, case management, life skills.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=559+Riverside+Dr,+West+Liberty,+KY+41472",active,,2026-09-20,medium,
NOSW - New Opportunity School for Women,Statewide,,KY,,Statewide,859-985-7200,https://nosw.org,jobs; family; transportation; education,residential; online,women; men; youth,"Free 2-week residential program in Berea: self-esteem, wellness, career, education, arts. Childcare/transportation reimbursement. Free online courses.",,free,,English,,,,,active,,2026-09-20,medium,
Open Arms Recovery Center,"166 Griffin Ave, Somerset, KY 42501",Somerset,KY,42501,Pulaski,859-494-2656,https://openarmsrecovery.org,addiction; community,walk-in,men,"Structured individualized treatment, long-term sobriety, harm reduction, community integration.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=166+Griffin+Ave,+Somerset,+KY+42501",active,,2026-09-20,medium,
Operation UNITE,"350 C.A.P. Dr, London, KY 40744",London,KY,40744,Statewide,1-866-678-6483,https://OperationUNITE.org,addiction,walk-in,substance-use,Substance misuse prevention and recovery facilitation,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=350+C.A.P.+Dr,+London,+KY+40744",active,,2026-09-20,medium,
Oxford House,"1010 Wayne Ave Suite 300, Silver Spring, MD 20910",Silver Spring,KY,,Franklin,301-587-2916; 859-353-8452,https://oxfordhouse.org,housing; addiction; community,residential; peer-led,substance-use,"Peer-run, self-sustaining, substance-free housing",,free,,English,,,,"https://www.google.com/maps/search/?api=1&query=1010+Wayne+Ave+Suite+300,+Silver+Spring,+MD+20910",active,,2026-09-20,medium,
Peacefully Whole Recovery,Statewide,,KY,,Statewide,859-412-2320,https://piecefullywhole.org,addiction,walk-in,substance-use,"Holistic recovery from alcohol, opioids, trauma. Serves 22 counties.",,unknown,,English,,,,,active,,2026-09-20,medium,
Perfect Imperfections,"1018 E. New Circle Rd Ste 204, Lexington, KY 40505",Lexington,KY,40505,Madison,859-693-6089; 859-368-0003,https://perfectimperfectionsky.com,housing; mental-health; addiction; community,residential; outpatient; peer-led,men; substance-use,"Licensed AODE, IOP, individual/group counseling, substance use counseling, case management, peer support, recovery housing.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1018+E.+New+Circle+Rd+Ste+204,+Lexington,+KY+40505",active,,2026-09-20,medium,
Pinnacle Treatment Centers,Statewide,,KY,,Statewide,606-922-2012,https://pinnacletreatment.com,shelter; addiction,residential,women; men,"24/7 admission, male/female beds, detox and residential",,unknown,24/7,English,,,,,active,,2026-09-20,medium,
Poison Control,Statewide,,KY,,Statewide,800-222-1222,,crisis,walk-in,anyone,Poison emergency,,unknown,,English,,,,,active,,2026-09-20,medium,
Pregnancy Center,"Louisville, KY",,KY,,Pulaski,502-640-1788; 859-300-1503,,family,walk-in,anyone,Pregnancy support services.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Louisville,+KY",active,,2026-09-20,medium,
Prevent Child Abuse Kentucky,Statewide,,KY,,Statewide,800-432-9251,,crisis; family,walk-in,youth,Child abuse prevention,,unknown,,English,,,,,active,,2026-09-20,medium,
"RAINN - Rape, Abuse and Incest National Network",Statewide,,KY,,Statewide,800-656-4673,,crisis; jobs,walk-in,anyone,Sexual assault support,,unknown,,English,,,,,active,,2026-09-20,medium,
Rape Crisis Hotline,Statewide,,KY,,Statewide,800-422-1060,,crisis,hotline,anyone,Rape crisis support,,unknown,,English,,,,,active,,2026-09-20,medium,
Recovery Care - ARC,"332 River Bend Rd, Louisa, KY",Louisa,KY,,Statewide,888-530-7632,https://arccenters.com,health; addiction; legal,walk-in,anyone,"Casey's Law intervention, accepts Wellcare, United Health Care, Anthem",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=332+River+Bend+Rd,+Louisa,+KY",active,,2026-09-20,medium,
Red Bird Mission,"70 Queendale Center, Beverly, KY 40913",Beverly,KY,40913,Clay,606-598-0520,https://rbmission.org,food; clothing; jobs; family; transportation; education,walk-in,seniors,"Food, clothing, household items, furniture, transportation, GED, tax prep, prenatal education, daycare, school K-12.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=70+Queendale+Center,+Beverly,+KY+40913",active,,2026-09-20,medium,
Redemption Road Recovery,"Barbourville, KY",,KY,,Knox,606-545-5169,,addiction,walk-in,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Barbourville,+KY",active,,2026-09-20,medium,
Resource Center for Child Protection,Statewide,,KY,,Statewide,800-527-3232,,family,walk-in,youth,Child protection,,unknown,,English,,,,,active,,2026-09-20,medium,
Restoration Healthcare,Statewide,,KY,,Statewide,,https://Healthcare services,health,walk-in,anyone,,,unknown,,English,,,,,active,,2026-09-20,medium,
Roaring Brook Recovery,"600 Perimeter Dr Ste 125, Lexington, KY 40517",Lexington,KY,40517,Fayette,866-678-8123,https://roaringbrookrecovery.com,housing; addiction,residential; outpatient,women; men,"PHP, IOP, aftercare, men's/women's rehab, sober living, MAT, Hep-C treatment, alumni program.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=600+Perimeter+Dr+Ste+125,+Lexington,+KY+40517",active,,2026-09-20,medium,
Serenity Ranch Recovery,Statewide,,KY,,Statewide,270-515-0212,https://serenityranchrecovery.com,addiction,walk-in,anyone,Kentucky's leading detox and rehab. 6 locations in KY and TN.,,unknown,,English,,,,,active,,2026-09-20,medium,
Shepherds House,"635 Maxwelton Ct, Lexington, KY 40508",Lexington,KY,40508,Fayette,859-252-1939; 859-447-4020,https://shepherdshouseinc.com,community,walk-in,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=635+Maxwelton+Ct,+Lexington,+KY+40508",active,,2026-09-20,medium,
SHIP - State Health Insurance Assistance,Statewide,,KY,,Statewide,877-293-7447,,health; mental-health,outpatient; government,anyone,Medicare counseling,,insurance,,English,,,,,active,,2026-09-20,medium,
SID's Back to Sleep Campaign,Statewide,,KY,,Statewide,800-505-2742,,shelter,walk-in,anyone,Safe sleep for infants,,unknown,,English,,,,,active,,2026-09-20,medium,
SNAP - Supplemental Nutrition Assistance,Statewide,,KY,,Statewide,855-306-8959,,food,walk-in,men,Food assistance benefits,,unknown,,English,,,,,active,,2026-09-20,medium,
SOAR - Shaping Our Appalachian Region,Statewide,,KY,,Statewide,606-766-1160,https://soar.org,community,online,men,Regional development,,unknown,,English,,,,,active,,2026-09-20,medium,
Somerset Community College,"808 Monticello St, Somerset, KY 42501",Somerset,KY,42501,Pulaski,606-451-6885,https://somerset.kctcs.edu,education; community,walk-in,men,Human & Social Services classes.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=808+Monticello+St,+Somerset,+KY+42501",active,,2026-09-20,medium,
SOS Ministries Mission Field,Statewide,,KY,,Statewide,937-262-4100; 855-696-2453,https://saveoursoulsministries.org,addiction; crisis,walk-in,substance-use,Picks up and assists victims of trafficking and addiction. Provides safety and recovery support.,,unknown,,English,,,,,active,,2026-09-20,medium,
SPARC - Job Training,"1442 W. Steve Wariner Dr, Russell Springs, KY 42642",Russell Springs,KY,42642,Statewide,859-396-0260,https://sparcrecovery.com,addiction; jobs; community,walk-in,anyone,"Sobriety, peace, awareness, recovery, community",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=1442+W.+Steve+Wariner+Dr,+Russell+Springs,+KY+42642",active,,2026-09-20,medium,
Special Needs Adoption,Statewide,,KY,,Statewide,800-423-9346,,community,walk-in,anyone,Special needs adoption,,unknown,,English,,,,,active,,2026-09-20,medium,
Spouse Abuse Hotline,Statewide,,KY,,Statewide,800-544-2022,,crisis,hotline,anyone,Spouse abuse hotline,,unknown,,English,,,,,active,,2026-09-20,medium,
St. John Recovery for Men,"Richmond, KY",,KY,,Madison,859-300-1503,https://stjohnrecoveryllc.com,housing; health; mental-health; addiction,residential; outpatient,men,"Behavioral health counseling, structured recovery housing.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Richmond,+KY",active,,2026-09-20,medium,
Still Waters Counseling,"828 Lane Allen Rd, Lexington, KY 40504",Lexington,KY,40504,Fayette,859-399-1373; 859-382-5687,https://stillwaters.org,mental-health; addiction; community,outpatient; peer-led,men,"IOP/OP group therapy, peer support, case management.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=828+Lane+Allen+Rd,+Lexington,+KY+40504",active,,2026-09-20,medium,
Suicide and Crisis Hotline,Statewide,,KY,,Statewide,988,https://988lifeline.org,crisis,hotline,anyone,Call or text 988,,unknown,,English,,,,,active,,2026-09-20,medium,
Target 4 Project,Statewide,,KY,,Statewide,606-878-7754 ext. 247,,health; mental-health; education,walk-in,anyone,"Free HIV screening, Hepatitis C testing, PrEP referrals, Narcan, health education",,free,,English,,True,,,active,,2026-09-20,medium,
The Everlasting Arm,"2006 S. Main St, Corbin, KY 40701",Corbin,KY,40701,Knox,606-528-3669,https://theeverlastingarminc@gmail.com,food; shelter; clothing; crisis,residential,anyone,16-bed emergency shelter up to 90 days. Food and clothing bank.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=2006+S.+Main+St,+Corbin,+KY+40701",active,,2026-09-20,medium,
The Next Chapter - Men,"Whitley City, KY",,KY,,McCreary,606-376-7416,,transportation,faith-based,men,Faith-based. Provides transport.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Whitley+City,+KY",active,,2026-09-20,medium,
The Next Chapter - Women,"Whitley City, KY",,KY,,McCreary,606-376-7414,,transportation,faith-based,women; men,Faith-based. Provides transport.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Whitley+City,+KY",active,,2026-09-20,medium,
Total Abstinence Behavioral Health,"230 Battlefield Memorial Hwy, Richmond, KY 40475",Richmond,KY,40475,Madison,859-408-7031,https://totalabstinence24.com,health; mental-health,outpatient,anyone,Behavioral health counseling.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=230+Battlefield+Memorial+Hwy,+Richmond,+KY+40475",active,,2026-09-20,medium,
Trans Lifeline,Statewide,,KY,,Statewide,877-565-8860,,crisis,hotline,lgbtq+,Transgender crisis support,,unknown,,English,,,,,active,,2026-09-20,medium,
Trevor Project - LGBTQ+ Youth,Statewide,,KY,,Statewide,866-488-7386,,crisis; family,walk-in,youth; lgbtq+,LGBTQ+ youth crisis support,,unknown,,English,,,,,active,,2026-09-20,medium,
Turnersville Christian Mission,"200 Hwy 198, Stanford, KY 40484",Stanford,KY,40484,Lincoln,859-583-8155,,community,faith-based,anyone,Community mission.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=200+Hwy+198,+Stanford,+KY+40484",active,,2026-09-20,medium,
United Way,"208 E. Mt Vernon St, Somerset, KY",Somerset,KY,,Pulaski,606-679-2974,,food,walk-in,anyone,Food assistance.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=208+E.+Mt+Vernon+St,+Somerset,+KY",active,,2026-09-20,medium,
VFW - Veterans of Foreign Wars,"3027 W. Laurel Rd, London, KY 40741",London,KY,40741,Statewide,606-862-9336,,veterans,walk-in,veterans,Veterans service organization,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=3027+W.+Laurel+Rd,+London,+KY+40741",active,,2026-09-20,medium,
VOA Mid-States Employment Services,Statewide,,KY,,Statewide,606-765-3566,,addiction; jobs,government,men,Employment for people in recovery,,unknown,,English,,,,,active,,2026-09-20,medium,
VOA Mid-States Freedom House,"1025 2nd St, Louisville, KY 40203",Louisville,KY,40203,Statewide,502-635-4530,https://voamid.org/recovery,addiction; jobs; family,government,families; men; youth,Treatment without leaving children. Insurance assistance. Employment services.,,free,,English,,,,"https://www.google.com/maps/search/?api=1&query=1025+2nd+St,+Louisville,+KY+40203",active,,2026-09-20,medium,
VOA Mid-States Recovery Community Center,"48 Owens Rd, Manchester, KY 40962",Manchester,KY,40962,Statewide,606-658-9236,https://FB: VOA Recovery Community Center,addiction; education; community,government,anyone,"Safe, supportive recovery community. Education, connections, support.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=48+Owens+Rd,+Manchester,+KY+40962",active,,2026-09-20,medium,
VOA Mid-States Restorative Justice,Statewide,,KY,,Statewide,502-585-9920,,legal,government,re-entry,Victim healing and restoration,,unknown,,English,,,,,active,,2026-09-20,medium,
VOA Mid-States Veteran Services,Statewide,,KY,,Statewide,,"https://Moral injury, preventing suicide, SSVF, homeless veterans reintegration",veterans,government,veterans,,,unknown,,English,,,,,active,,2026-09-20,medium,
VOA Recovery - Freedom House Manchester,"8467 US-421, Manchester, KY 40962",Manchester,KY,40962,Clay,606-603-2486,https://voamid.org,housing; addiction,residential,men,Recovery housing.,,free,,English,,,,"https://www.google.com/maps/search/?api=1&query=8467+US-421,+Manchester,+KY+40962",active,,2026-09-20,medium,
Vocal Kentucky,"723 S. Brook St, Louisville, KY 40203",Louisville,KY,40203,Statewide,502-356-2322,https://vocal-ky.org,community,walk-in,anyone,Harm reduction and advocacy,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=723+S.+Brook+St,+Louisville,+KY+40203",active,,2026-09-20,medium,
Voices of Hope,"644 N. Broadway, Lexington, KY 40508",Lexington,KY,40508,Fayette,859-303-7671,https://voicesofhopelex.org,addiction; community,walk-in,anyone,Recovery community center and support services.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=644+N.+Broadway,+Lexington,+KY+40508",active,,2026-09-20,medium,
Walker House,"Lexington, KY",,KY,,Fayette,859-310-3567,https://walkerhouseinc.com,housing; mental-health; addiction; family,residential; outpatient,families; youth; substance-use,"Sober living, recovery house, addiction/family/teen counseling, anxiety therapy.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Lexington,+KY",active,,2026-09-20,medium,
Walker House Sober Living,"Winchester & Lexington, KY",,KY,,Statewide,859-310-3567,https://walkerhouseinc.com,housing; mental-health; addiction; family; transportation,residential; outpatient,families; youth; substance-use,"Transport, sober living, recovery, addiction/family/teen counseling, anxiety therapy",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Winchester+&+Lexington,+KY",active,,2026-09-20,medium,
Welfare and Medicaid Fraud,Statewide,,KY,,Statewide,800-372-2970,,health,walk-in,anyone,Report fraud,,insurance,,English,,,,,active,,2026-09-20,medium,
Whispering Pines,"Hazzard, KY",,KY,,Perry,606-438-5929,https://affordablehousing.com,housing,residential,anyone,Affordable housing.,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Hazzard,+KY",active,,2026-09-20,medium,
Whitley City Treatment Center,"Whitley City, KY",,KY,,McCreary,423-560-6594,https://recovery.org,addiction,walk-in,men,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=Whitley+City,+KY",active,,2026-09-20,medium,
Whitley County Health Department,"368 Penny Ln, Williamsburg, KY 40769",Williamsburg,KY,40769,Whitley,606-549-3380,https://whitleycountyhealthdepartment.com,health,government,men,"Clinical services, public health.",,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=368+Penny+Ln,+Williamsburg,+KY+40769",active,,2026-09-20,medium,
WIC - Women Infants and Children,Statewide,,KY,,Statewide,800-462-6122,,food; family,walk-in,families; women; men; youth,Nutrition assistance,,unknown,,English,,,,,active,,2026-09-20,medium,
Williamsburg Housing Authority,"600 Brush Arbour Church Rd, Williamsburg, KY",Williamsburg,KY,,Whitley,606-549-0282,https://affordablehousing.com,housing,residential,anyone,,,unknown,,English,,,,"https://www.google.com/maps/search/?api=1&query=600+Brush+Arbour+Church+Rd,+Williamsburg,+KY",active,,2026-09-20,medium,
